OID_,Value,Count,Red,Green,Blue,Opacity,2001_Code,2001_Class,2005_Code,2005_Class,Class_Name
,71,0,0,0,0.470588235,1,3,Medium Intensity Developed,21,Water,Medium Intensity Developed to Water
,72,0,0,0,0.949019608,1,3,Medium Intensity Developed,22,Palustrine Aquatic Bed,Medium Intensity Developed to Palustrine Aquatic Bed
,73,0,0.4,0.458823529,0.858823529,1,3,Medium Intensity Developed,23,Estuarine Aquatic Bed,Medium Intensity Developed to Estuarine Aquatic Bed
,74,0,0.980392157,0.819607843,0,1,3,Medium Intensity Developed,24,Tundra,Medium Intensity Developed to Tundra
,75,0,0.670588235,0.980392157,0.941176471,1,3,Medium Intensity Developed,25,Snow/Ice,Medium Intensity Developed to Snow/Ice
,76,0,0,0,0,1,4,Low Intensity Developed,1,Unclassified,Low Intensity Developed to Unclassified
,77,0,0.949019608,0.949019608,0.949019608,1,4,Low Intensity Developed,2,High Intensity Developed,Low Intensity Developed to High Intensity Developed
,78,547,0.658823529,0.6,0.658823529,1,4,Low Intensity Developed,3,Medium Intensity Developed,Low Intensity Developed to Medium Intensity Developed
,79,74715,0.760784314,0.850980392,0.870588235,1,4,Low Intensity Developed,4,Low Intensity Developed,Low Intensity Developed to Low Intensity Developed
,80,21,0.760784314,0.8,0.219607843,1,4,Low Intensity Developed,5,Developed Open Space,Low Intensity Developed to Developed Open Space
,81,249,0.329411765,0.129411765,0,1,4,Low Intensity Developed,6,Cultivated,Low Intensity Developed to Cultivated
,82,274,0.760784314,0.631372549,0.309803922,1,4,Low Intensity Developed,7,Pasture/Hay,Low Intensity Developed to Pasture/Hay
,83,1029,0.949019608,0.729411765,0.529411765,1,4,Low Intensity Developed,8,Grassland,Low Intensity Developed to Grassland
,84,0,0,0.949019608,0,1,4,Low Intensity Developed,9,Deciduous Forest,Low Intensity Developed to Deciduous Forest
,85,522,0,0.231372549,0,1,4,Low Intensity Developed,10,Evergreen Forest,Low Intensity Developed to Evergreen Forest
,86,0,0.031372549,0.631372549,0.231372549,1,4,Low Intensity Developed,11,Mixed Forest,Low Intensity Developed to Mixed Forest
,87,949,0.431372549,0.431372549,0,1,4,Low Intensity Developed,12,Scrub/Shrub,Low Intensity Developed to Scrub/Shrub
,88,0,0,0.360784314,0.360784314,1,4,Low Intensity Developed,13,Palustrine Forested Wetland,Low Intensity Developed to Palustrine Forested Wetland
,89,0,0.949019608,0.431372549,0,1,4,Low Intensity Developed,14,Palustrine Scrub/Shrub Wetland,Low Intensity Developed to Palustrine Scrub/Shrub Wetland
,90,0,0.949019608,0,0.949019608,1,4,Low Intensity Developed,15,Palustrine Emergent Wetland,Low Intensity Developed to Palustrine Emergent Wetland
,91,0,0.239215686,0,0.239215686,1,4,Low Intensity Developed,16,Estuarine Forested Wetland,Low Intensity Developed to Estuarine Forested Wetland
,92,0,0.431372549,0,0.431372549,1,4,Low Intensity Developed,17,Estuarine Scrub/Shrub Wetland,Low Intensity Developed to Estuarine Scrub/Shrub Wetland
,93,0,0.690196078,0,0.690196078,1,4,Low Intensity Developed,18,Estuarine Emergent Wetland,Low Intensity Developed to Estuarine Emergent Wetland
,94,0,0,0.949019608,0.949019608,1,4,Low Intensity Developed,19,Unconsolidated Shore,Low Intensity Developed to Unconsolidated Shore
,95,77,0.949019608,0.949019608,0,1,4,Low Intensity Developed,20,Bare Land,Low Intensity Developed to Bare Land
,96,7,0,0,0.470588235,1,4,Low Intensity Developed,21,Water,Low Intensity Developed to Water
,97,0,0,0,0.949019608,1,4,Low Intensity Developed,22,Palustrine Aquatic Bed,Low Intensity Developed to Palustrine Aquatic Bed
,98,0,0.4,0.458823529,0.858823529,1,4,Low Intensity Developed,23,Estuarine Aquatic Bed,Low Intensity Developed to Estuarine Aquatic Bed
,99,0,0.980392157,0.819607843,0,1,4,Low Intensity Developed,24,Tundra,Low Intensity Developed to Tundra
,100,0,0.670588235,0.980392157,0.941176471,1,4,Low Intensity Developed,25,Snow/Ice,Low Intensity Developed to Snow/Ice
,101,0,0,0,0,1,5,Developed Open Space,1,Unclassified,Developed Open Space to Unclassified
,102,0,0.949019608,0.949019608,0.949019608,1,5,Developed Open Space,2,High Intensity Developed,Developed Open Space to High Intensity Developed
,103,26,0.658823529,0.6,0.658823529,1,5,Developed Open Space,3,Medium Intensity Developed,Developed Open Space to Medium Intensity Developed
,104,219,0.560784314,0.458823529,0.490196078,1,5,Developed Open Space,4,Low Intensity Developed,Developed Open Space to Low Intensity Developed
,105,25599,0.760784314,0.850980392,0.870588235,1,5,Developed Open Space,5,Developed Open Space,Developed Open Space to Developed Open Space
,106,36,0.329411765,0.129411765,0,1,5,Developed Open Space,6,Cultivated,Developed Open Space to Cultivated
,107,0,0.760784314,0.631372549,0.309803922,1,5,Developed Open Space,7,Pasture/Hay,Developed Open Space to Pasture/Hay
,108,0,0.949019608,0.729411765,0.529411765,1,5,Developed Open Space,8,Grassland,Developed Open Space to Grassland
,109,0,0,0.949019608,0,1,5,Developed Open Space,9,Deciduous Forest,Developed Open Space to Deciduous Forest
,110,0,0,0.231372549,0,1,5,Developed Open Space,10,Evergreen Forest,Developed Open Space to Evergreen Forest
,111,0,0.031372549,0.631372549,0.231372549,1,5,Developed Open Space,11,Mixed Forest,Developed Open Space to Mixed Forest
,112,0,0.431372549,0.431372549,0,1,5,Developed Open Space,12,Scrub/Shrub,Developed Open Space to Scrub/Shrub
,113,0,0,0.360784314,0.360784314,1,5,Developed Open Space,13,Palustrine Forested Wetland,Developed Open Space to Palustrine Forested Wetland
,114,0,0.949019608,0.431372549,0,1,5,Developed Open Space,14,Palustrine Scrub/Shrub Wetland,Developed Open Space to Palustrine Scrub/Shrub Wetland
,115,0,0.949019608,0,0.949019608,1,5,Developed Open Space,15,Palustrine Emergent Wetland,Developed Open Space to Palustrine Emergent Wetland
,116,0,0.239215686,0,0.239215686,1,5,Developed Open Space,16,Estuarine Forested Wetland,Developed Open Space to Estuarine Forested Wetland
,117,0,0.431372549,0,0.431372549,1,5,Developed Open Space,17,Estuarine Scrub/Shrub Wetland,Developed Open Space to Estuarine Scrub/Shrub Wetland
,118,0,0.690196078,0,0.690196078,1,5,Developed Open Space,18,Estuarine Emergent Wetland,Developed Open Space to Estuarine Emergent Wetland
,119,0,0,0.949019608,0.949019608,1,5,Developed Open Space,19,Unconsolidated Shore,Developed Open Space to Unconsolidated Shore
,120,0,0.949019608,0.949019608,0,1,5,Developed Open Space,20,Bare Land,Developed Open Space to Bare Land
,121,0,0,0,0.470588235,1,5,Developed Open Space,21,Water,Developed Open Space to Water
,122,0,0,0,0.949019608,1,5,Developed Open Space,22,Palustrine Aquatic Bed,Developed Open Space to Palustrine Aquatic Bed
,123,0,0.4,0.458823529,0.858823529,1,5,Developed Open Space,23,Estuarine Aquatic Bed,Developed Open Space to Estuarine Aquatic Bed
,124,0,0.980392157,0.819607843,0,1,5,Developed Open Space,24,Tundra,Developed Open Space to Tundra
,125,0,0.670588235,0.980392157,0.941176471,1,5,Developed Open Space,25,Snow/Ice,Developed Open Space to Snow/Ice
,126,0,0,0,0,1,6,Cultivated,1,Unclassified,Cultivated to Unclassified
,127,0,0.949019608,0.949019608,0.949019608,1,6,Cultivated,2,High Intensity Developed,Cultivated to High Intensity Developed
,128,3,0.658823529,0.6,0.658823529,1,6,Cultivated,3,Medium Intensity Developed,Cultivated to Medium Intensity Developed
,129,369,0.560784314,0.458823529,0.490196078,1,6,Cultivated,4,Low Intensity Developed,Cultivated to Low Intensity Developed
,130,4,0.760784314,0.8,0.219607843,1,6,Cultivated,5,Developed Open Space,Cultivated to Developed Open Space
,131,74865,0.760784314,0.850980392,0.870588235,1,6,Cultivated,6,Cultivated,Cultivated to Cultivated
,132,3570,0.760784314,0.631372549,0.309803922,1,6,Cultivated,7,Pasture/Hay,Cultivated to Pasture/Hay
,133,32712,0.949019608,0.729411765,0.529411765,1,6,Cultivated,8,Grassland,Cultivated to Grassland
,134,0,0,0.949019608,0,1,6,Cultivated,9,Deciduous Forest,Cultivated to Deciduous Forest
,135,223,0,0.231372549,0,1,6,Cultivated,10,Evergreen Forest,Cultivated to Evergreen Forest
,136,0,0.031372549,0.631372549,0.231372549,1,6,Cultivated,11,Mixed Forest,Cultivated to Mixed Forest
,137,17313,0.431372549,0.431372549,0,1,6,Cultivated,12,Scrub/Shrub,Cultivated to Scrub/Shrub
,138,6,0,0.360784314,0.360784314,1,6,Cultivated,13,Palustrine Forested Wetland,Cultivated to Palustrine Forested Wetland
,139,41,0.949019608,0.431372549,0,1,6,Cultivated,14,Palustrine Scrub/Shrub Wetland,Cultivated to Palustrine Scrub/Shrub Wetland
,140,105,0.949019608,0,0.949019608,1,6,Cultivated,15,Palustrine Emergent Wetland,Cultivated to Palustrine Emergent Wetland
,141,0,0.239215686,0,0.239215686,1,6,Cultivated,16,Estuarine Forested Wetland,Cultivated to Estuarine Forested Wetland
,142,0,0.431372549,0,0.431372549,1,6,Cultivated,17,Estuarine Scrub/Shrub Wetland,Cultivated to Estuarine Scrub/Shrub Wetland
,143,0,0.690196078,0,0.690196078,1,6,Cultivated,18,Estuarine Emergent Wetland,Cultivated to Estuarine Emergent Wetland
,144,0,0,0.949019608,0.949019608,1,6,Cultivated,19,Unconsolidated Shore,Cultivated to Unconsolidated Shore
,145,1213,0.949019608,0.949019608,0,1,6,Cultivated,20,Bare Land,Cultivated to Bare Land
,146,1,0,0,0.470588235,1,6,Cultivated,21,Water,Cultivated to Water
,147,0,0,0,0.949019608,1,6,Cultivated,22,Palustrine Aquatic Bed,Cultivated to Palustrine Aquatic Bed
,148,0,0.4,0.458823529,0.858823529,1,6,Cultivated,23,Estuarine Aquatic Bed,Cultivated to Estuarine Aquatic Bed
,149,0,0.980392157,0.819607843,0,1,6,Cultivated,24,Tundra,Cultivated to Tundra
,150,0,0.670588235,0.980392157,0.941176471,1,6,Cultivated,25,Snow/Ice,Cultivated to Snow/Ice
,151,0,0,0,0,1,7,Pasture/Hay,1,Unclassified,Pasture/Hay to Unclassified
,152,0,0.949019608,0.949019608,0.949019608,1,7,Pasture/Hay,2,High Intensity Developed,Pasture/Hay to High Intensity Developed
,153,5,0.658823529,0.6,0.658823529,1,7,Pasture/Hay,3,Medium Intensity Developed,Pasture/Hay to Medium Intensity Developed
,154,670,0.560784314,0.458823529,0.490196078,1,7,Pasture/Hay,4,Low Intensity Developed,Pasture/Hay to Low Intensity Developed
,155,966,0.760784314,0.8,0.219607843,1,7,Pasture/Hay,5,Developed Open Space,Pasture/Hay to Developed Open Space
,156,89,0.329411765,0.129411765,0,1,7,Pasture/Hay,6,Cultivated,Pasture/Hay to Cultivated
,157,95202,0.760784314,0.850980392,0.870588235,1,7,Pasture/Hay,7,Pasture/Hay,Pasture/Hay to Pasture/Hay
,158,1022,0.949019608,0.729411765,0.529411765,1,7,Pasture/Hay,8,Grassland,Pasture/Hay to Grassland
,159,0,0,0.949019608,0,1,7,Pasture/Hay,9,Deciduous Forest,Pasture/Hay to Deciduous Forest
,160,855,0,0.231372549,0,1,7,Pasture/Hay,10,Evergreen Forest,Pasture/Hay to Evergreen Forest
