OID_,Value,Count,Red,Green,Blue,Opacity,1992_Code,1992_Class,2001_Code,2001_Class,Class_Name,1992_Color,1992_Col_1,1992_Col_2,2001_Color,2001_Col_1,2001_Col_2,Change_Red,Change_Gre,Change_Blu,Bivariate_
,35,0.000000000000000,0,58,0,255,2,High Intensity Developed,10,Evergreen Forest,High Intensity Developed to Evergreen Forest,0.949019607843000,0.949019607843000,0.949019607843000,0.000000000000000,0.227450980392000,0.000000000000000,0.000000000000000,0.227450980392000,0.000000000000000,210
,36,0.000000000000000,7,160,58,255,2,High Intensity Developed,11,Mixed Forest,High Intensity Developed to Mixed Forest,0.949019607843000,0.949019607843000,0.949019607843000,0.027450980392200,0.627450980392000,0.227450980392000,0.027450980392200,0.627450980392000,0.227450980392000,211
,37,0.000000000000000,109,109,0,255,2,High Intensity Developed,12,Scrub/Shrub,High Intensity Developed to Scrub/Shrub,0.949019607843000,0.949019607843000,0.949019607843000,0.427450980392000,0.427450980392000,0.000000000000000,0.427450980392000,0.427450980392000,0.000000000000000,212
,38,0.000000000000000,0,91,91,255,2,High Intensity Developed,13,Palustrine Forested Wetland,High Intensity Developed to Palustrine Forested Wetland,0.949019607843000,0.949019607843000,0.949019607843000,0.000000000000000,0.356862745098000,0.356862745098000,0.000000000000000,0.356862745098000,0.356862745098000,213
,39,0.000000000000000,242,109,0,255,2,High Intensity Developed,14,Palustrine Scrub/Shrub Wetland,High Intensity Developed to Palustrine Scrub/Shrub Wetland,0.949019607843000,0.949019607843000,0.949019607843000,0.949019607843000,0.427450980392000,0.000000000000000,0.949019607843000,0.427450980392000,0.000000000000000,214
,40,0.000000000000000,242,0,242,255,2,High Intensity Developed,15,Palustrine Emergent Wetland,High Intensity Developed to Palustrine Emergent Wetland,0.949019607843000,0.949019607843000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,215
,41,0.000000000000000,61,0,61,255,2,High Intensity Developed,16,Estuarine Forested Wetland,High Intensity Developed to Estuarine Forested Wetland,0.949019607843000,0.949019607843000,0.949019607843000,0.235294117647000,0.000000000000000,0.235294117647000,0.235294117647000,0.000000000000000,0.235294117647000,216
,42,0.000000000000000,109,0,109,255,2,High Intensity Developed,17,Estuarine Scrub/Shrub Wetland,High Intensity Developed to Estuarine Scrub/Shrub Wetland,0.949019607843000,0.949019607843000,0.949019607843000,0.427450980392000,0.000000000000000,0.427450980392000,0.427450980392000,0.000000000000000,0.427450980392000,217
,43,0.000000000000000,175,0,175,255,2,High Intensity Developed,18,Estuarine Emergent Wetland,High Intensity Developed to Estuarine Emergent Wetland,0.949019607843000,0.949019607843000,0.949019607843000,0.686274509804000,0.000000000000000,0.686274509804000,0.686274509804000,0.000000000000000,0.686274509804000,218
,44,0.000000000000000,0,242,242,255,2,High Intensity Developed,19,Unconsolidated Shore,High Intensity Developed to Unconsolidated Shore,0.949019607843000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,0.949019607843000,219
,45,0.000000000000000,242,242,0,255,2,High Intensity Developed,20,Bare Land,High Intensity Developed to Bare Land,0.949019607843000,0.949019607843000,0.949019607843000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000,220
,46,0.000000000000000,0,0,119,255,2,High Intensity Developed,21,Water,High Intensity Developed to Water,0.949019607843000,0.949019607843000,0.949019607843000,0.000000000000000,0.000000000000000,0.466666666667000,0.000000000000000,0.000000000000000,0.466666666667000,221
,47,0.000000000000000,0,0,242,255,2,High Intensity Developed,22,Palustrine Aquatic Bed,High Intensity Developed to Palustrine Aquatic Bed,0.949019607843000,0.949019607843000,0.949019607843000,0.000000000000000,0.000000000000000,0.949019607843000,0.000000000000000,0.000000000000000,0.949019607843000,222
,48,0.000000000000000,102,117,219,255,2,High Intensity Developed,23,Estuarine Aquatic Bed,High Intensity Developed to Estuarine Aquatic Bed,0.949019607843000,0.949019607843000,0.949019607843000,0.400000000000000,0.458823529412000,0.858823529412000,0.400000000000000,0.458823529412000,0.858823529412000,223
,49,0.000000000000000,249,209,0,255,2,High Intensity Developed,24,Tundra,High Intensity Developed to Tundra,0.949019607843000,0.949019607843000,0.949019607843000,0.976470588235000,0.819607843137000,0.000000000000000,0.976470588235000,0.819607843137000,0.000000000000000,224
,50,0.000000000000000,170,249,239,255,2,High Intensity Developed,25,Snow/Ice,High Intensity Developed to Snow/Ice,0.949019607843000,0.949019607843000,0.949019607843000,0.666666666667000,0.976470588235000,0.937254901961000,0.666666666667000,0.976470588235000,0.937254901961000,225
,51,0.000000000000000,0,0,0,255,3,Medium Intensity Developed,1,Unclassified,Medium Intensity Developed to Unclassified,0.658823529412000,0.600000000000000,0.658823529412000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,301
,52,42.000000000000000,242,242,242,255,3,Medium Intensity Developed,2,High Intensity Developed,Medium Intensity Developed to High Intensity Developed,0.658823529412000,0.600000000000000,0.658823529412000,0.949019607843000,0.949019607843000,0.949019607843000,0.949019607843000,0.949019607843000,0.949019607843000,302
,53,113086.000000000000000,193,216,221,255,3,Medium Intensity Developed,3,Medium Intensity Developed,Medium Intensity Developed to Medium Intensity Developed,0.658823529412000,0.600000000000000,0.658823529412000,0.756862745098000,0.847058823529000,0.866666666667000,0.309803921569000,0.309803921569000,0.254901960784000,303
,54,0.000000000000000,142,117,124,255,3,Medium Intensity Developed,4,Low Intensity Developed,Medium Intensity Developed to Low Intensity Developed,0.658823529412000,0.600000000000000,0.658823529412000,0.556862745098000,0.458823529412000,0.486274509804000,0.556862745098000,0.458823529412000,0.486274509804000,304
,55,0.000000000000000,193,204,56,255,3,Medium Intensity Developed,5,Developed Open Space,Medium Intensity Developed to Developed Open Space,0.658823529412000,0.600000000000000,0.658823529412000,0.756862745098000,0.800000000000000,0.219607843137000,0.756862745098000,0.800000000000000,0.219607843137000,305
,56,0.000000000000000,84,33,0,255,3,Medium Intensity Developed,6,Cultivated,Medium Intensity Developed to Cultivated,0.658823529412000,0.600000000000000,0.658823529412000,0.329411764706000,0.125490196078000,0.000000000000000,0.329411764706000,0.125490196078000,0.000000000000000,306
,57,0.000000000000000,193,160,79,255,3,Medium Intensity Developed,7,Pasture/Hay,Medium Intensity Developed to Pasture/Hay,0.658823529412000,0.600000000000000,0.658823529412000,0.756862745098000,0.627450980392000,0.309803921569000,0.756862745098000,0.627450980392000,0.309803921569000,307
,58,0.000000000000000,242,186,135,255,3,Medium Intensity Developed,8,Grassland,Medium Intensity Developed to Grassland,0.658823529412000,0.600000000000000,0.658823529412000,0.949019607843000,0.729411764706000,0.529411764706000,0.949019607843000,0.729411764706000,0.529411764706000,308
,59,0.000000000000000,0,242,0,255,3,Medium Intensity Developed,9,Deciduous Forest,Medium Intensity Developed to Deciduous Forest,0.658823529412000,0.600000000000000,0.658823529412000,0.000000000000000,0.949019607843000,0.000000000000000,0.000000000000000,0.949019607843000,0.000000000000000,309
,60,0.000000000000000,0,58,0,255,3,Medium Intensity Developed,10,Evergreen Forest,Medium Intensity Developed to Evergreen Forest,0.658823529412000,0.600000000000000,0.658823529412000,0.000000000000000,0.227450980392000,0.000000000000000,0.000000000000000,0.227450980392000,0.000000000000000,310
,61,0.000000000000000,7,160,58,255,3,Medium Intensity Developed,11,Mixed Forest,Medium Intensity Developed to Mixed Forest,0.658823529412000,0.600000000000000,0.658823529412000,0.027450980392200,0.627450980392000,0.227450980392000,0.027450980392200,0.627450980392000,0.227450980392000,311
,62,0.000000000000000,109,109,0,255,3,Medium Intensity Developed,12,Scrub/Shrub,Medium Intensity Developed to Scrub/Shrub,0.658823529412000,0.600000000000000,0.658823529412000,0.427450980392000,0.427450980392000,0.000000000000000,0.427450980392000,0.427450980392000,0.000000000000000,312
,63,0.000000000000000,0,91,91,255,3,Medium Intensity Developed,13,Palustrine Forested Wetland,Medium Intensity Developed to Palustrine Forested Wetland,0.658823529412000,0.600000000000000,0.658823529412000,0.000000000000000,0.356862745098000,0.356862745098000,0.000000000000000,0.356862745098000,0.356862745098000,313
,64,0.000000000000000,242,109,0,255,3,Medium Intensity Developed,14,Palustrine Scrub/Shrub Wetland,Medium Intensity Developed to Palustrine Scrub/Shrub Wetland,0.658823529412000,0.600000000000000,0.658823529412000,0.949019607843000,0.427450980392000,0.000000000000000,0.949019607843000,0.427450980392000,0.000000000000000,314
,65,0.000000000000000,242,0,242,255,3,Medium Intensity Developed,15,Palustrine Emergent Wetland,Medium Intensity Developed to Palustrine Emergent Wetland,0.658823529412000,0.600000000000000,0.658823529412000,0.949019607843000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,315
,66,0.000000000000000,61,0,61,255,3,Medium Intensity Developed,16,Estuarine Forested Wetland,Medium Intensity Developed to Estuarine Forested Wetland,0.658823529412000,0.600000000000000,0.658823529412000,0.235294117647000,0.000000000000000,0.235294117647000,0.235294117647000,0.000000000000000,0.235294117647000,316
,67,0.000000000000000,109,0,109,255,3,Medium Intensity Developed,17,Estuarine Scrub/Shrub Wetland,Medium Intensity Developed to Estuarine Scrub/Shrub Wetland,0.658823529412000,0.600000000000000,0.658823529412000,0.427450980392000,0.000000000000000,0.427450980392000,0.427450980392000,0.000000000000000,0.427450980392000,317
,68,0.000000000000000,175,0,175,255,3,Medium Intensity Developed,18,Estuarine Emergent Wetland,Medium Intensity Developed to Estuarine Emergent Wetland,0.658823529412000,0.600000000000000,0.658823529412000,0.686274509804000,0.000000000000000,0.686274509804000,0.686274509804000,0.000000000000000,0.686274509804000,318
,69,0.000000000000000,0,242,242,255,3,Medium Intensity Developed,19,Unconsolidated Shore,Medium Intensity Developed to Unconsolidated Shore,0.658823529412000,0.600000000000000,0.658823529412000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,0.949019607843000,319
,70,0.000000000000000,242,242,0,255,3,Medium Intensity Developed,20,Bare Land,Medium Intensity Developed to Bare Land,0.658823529412000,0.600000000000000,0.658823529412000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000,320
,71,0.000000000000000,0,0,119,255,3,Medium Intensity Developed,21,Water,Medium Intensity Developed to Water,0.658823529412000,0.600000000000000,0.658823529412000,0.000000000000000,0.000000000000000,0.466666666667000,0.000000000000000,0.000000000000000,0.466666666667000,321
,72,0.000000000000000,0,0,242,255,3,Medium Intensity Developed,22,Palustrine Aquatic Bed,Medium Intensity Developed to Palustrine Aquatic Bed,0.658823529412000,0.600000000000000,0.658823529412000,0.000000000000000,0.000000000000000,0.949019607843000,0.000000000000000,0.000000000000000,0.949019607843000,322
,73,0.000000000000000,102,117,219,255,3,Medium Intensity Developed,23,Estuarine Aquatic Bed,Medium Intensity Developed to Estuarine Aquatic Bed,0.658823529412000,0.600000000000000,0.658823529412000,0.400000000000000,0.458823529412000,0.858823529412000,0.400000000000000,0.458823529412000,0.858823529412000,323
,74,0.000000000000000,249,209,0,255,3,Medium Intensity Developed,24,Tundra,Medium Intensity Developed to Tundra,0.658823529412000,0.600000000000000,0.658823529412000,0.976470588235000,0.819607843137000,0.000000000000000,0.976470588235000,0.819607843137000,0.000000000000000,324
,75,0.000000000000000,170,249,239,255,3,Medium Intensity Developed,25,Snow/Ice,Medium Intensity Developed to Snow/Ice,0.658823529412000,0.600000000000000,0.658823529412000,0.666666666667000,0.976470588235000,0.937254901961000,0.666666666667000,0.976470588235000,0.937254901961000,325
,76,0.000000000000000,0,0,0,255,4,Low Intensity Developed,1,Unclassified,Low Intensity Developed to Unclassified,0.556862745098000,0.458823529412000,0.486274509804000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,401
,77,52.000000000000000,242,242,242,255,4,Low Intensity Developed,2,High Intensity Developed,Low Intensity Developed to High Intensity Developed,0.556862745098000,0.458823529412000,0.486274509804000,0.949019607843000,0.949019607843000,0.949019607843000,0.949019607843000,0.949019607843000,0.949019607843000,402
,78,54.000000000000000,168,153,168,255,4,Low Intensity Developed,3,Medium Intensity Developed,Low Intensity Developed to Medium Intensity Developed,0.556862745098000,0.458823529412000,0.486274509804000,0.658823529412000,0.600000000000000,0.658823529412000,0.658823529412000,0.600000000000000,0.658823529412000,403
,79,135329.000000000000000,193,216,221,255,4,Low Intensity Developed,4,Low Intensity Developed,Low Intensity Developed to Low Intensity Developed,0.556862745098000,0.458823529412000,0.486274509804000,0.756862745098000,0.847058823529000,0.866666666667000,0.309803921569000,0.309803921569000,0.254901960784000,404
,80,0.000000000000000,193,204,56,255,4,Low Intensity Developed,5,Developed Open Space,Low Intensity Developed to Developed Open Space,0.556862745098000,0.458823529412000,0.486274509804000,0.756862745098000,0.800000000000000,0.219607843137000,0.756862745098000,0.800000000000000,0.219607843137000,405
,81,0.000000000000000,84,33,0,255,4,Low Intensity Developed,6,Cultivated,Low Intensity Developed to Cultivated,0.556862745098000,0.458823529412000,0.486274509804000,0.329411764706000,0.125490196078000,0.000000000000000,0.329411764706000,0.125490196078000,0.000000000000000,406
,82,0.000000000000000,193,160,79,255,4,Low Intensity Developed,7,Pasture/Hay,Low Intensity Developed to Pasture/Hay,0.556862745098000,0.458823529412000,0.486274509804000,0.756862745098000,0.627450980392000,0.309803921569000,0.756862745098000,0.627450980392000,0.309803921569000,407
,83,0.000000000000000,242,186,135,255,4,Low Intensity Developed,8,Grassland,Low Intensity Developed to Grassland,0.556862745098000,0.458823529412000,0.486274509804000,0.949019607843000,0.729411764706000,0.529411764706000,0.949019607843000,0.729411764706000,0.529411764706000,408
,84,0.000000000000000,0,242,0,255,4,Low Intensity Developed,9,Deciduous Forest,Low Intensity Developed to Deciduous Forest,0.556862745098000,0.458823529412000,0.486274509804000,0.000000000000000,0.949019607843000,0.000000000000000,0.000000000000000,0.949019607843000,0.000000000000000,409
,85,0.000000000000000,0,58,0,255,4,Low Intensity Developed,10,Evergreen Forest,Low Intensity Developed to Evergreen Forest,0.556862745098000,0.458823529412000,0.486274509804000,0.000000000000000,0.227450980392000,0.000000000000000,0.000000000000000,0.227450980392000,0.000000000000000,410
,86,0.000000000000000,7,160,58,255,4,Low Intensity Developed,11,Mixed Forest,Low Intensity Developed to Mixed Forest,0.556862745098000,0.458823529412000,0.486274509804000,0.027450980392200,0.627450980392000,0.227450980392000,0.027450980392200,0.627450980392000,0.227450980392000,411
,87,0.000000000000000,109,109,0,255,4,Low Intensity Developed,12,Scrub/Shrub,Low Intensity Developed to Scrub/Shrub,0.556862745098000,0.458823529412000,0.486274509804000,0.427450980392000,0.427450980392000,0.000000000000000,0.427450980392000,0.427450980392000,0.000000000000000,412
,88,0.000000000000000,0,91,91,255,4,Low Intensity Developed,13,Palustrine Forested Wetland,Low Intensity Developed to Palustrine Forested Wetland,0.556862745098000,0.458823529412000,0.486274509804000,0.000000000000000,0.356862745098000,0.356862745098000,0.000000000000000,0.356862745098000,0.356862745098000,413
,89,0.000000000000000,242,109,0,255,4,Low Intensity Developed,14,Palustrine Scrub/Shrub Wetland,Low Intensity Developed to Palustrine Scrub/Shrub Wetland,0.556862745098000,0.458823529412000,0.486274509804000,0.949019607843000,0.427450980392000,0.000000000000000,0.949019607843000,0.427450980392000,0.000000000000000,414
,90,0.000000000000000,242,0,242,255,4,Low Intensity Developed,15,Palustrine Emergent Wetland,Low Intensity Developed to Palustrine Emergent Wetland,0.556862745098000,0.458823529412000,0.486274509804000,0.949019607843000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,415
,91,0.000000000000000,61,0,61,255,4,Low Intensity Developed,16,Estuarine Forested Wetland,Low Intensity Developed to Estuarine Forested Wetland,0.556862745098000,0.458823529412000,0.486274509804000,0.235294117647000,0.000000000000000,0.235294117647000,0.235294117647000,0.000000000000000,0.235294117647000,416
,92,0.000000000000000,109,0,109,255,4,Low Intensity Developed,17,Estuarine Scrub/Shrub Wetland,Low Intensity Developed to Estuarine Scrub/Shrub Wetland,0.556862745098000,0.458823529412000,0.486274509804000,0.427450980392000,0.000000000000000,0.427450980392000,0.427450980392000,0.000000000000000,0.427450980392000,417
,93,0.000000000000000,175,0,175,255,4,Low Intensity Developed,18,Estuarine Emergent Wetland,Low Intensity Developed to Estuarine Emergent Wetland,0.556862745098000,0.458823529412000,0.486274509804000,0.686274509804000,0.000000000000000,0.686274509804000,0.686274509804000,0.000000000000000,0.686274509804000,418
,94,0.000000000000000,0,242,242,255,4,Low Intensity Developed,19,Unconsolidated Shore,Low Intensity Developed to Unconsolidated Shore,0.556862745098000,0.458823529412000,0.486274509804000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,0.949019607843000,419
,95,0.000000000000000,242,242,0,255,4,Low Intensity Developed,20,Bare Land,Low Intensity Developed to Bare Land,0.556862745098000,0.458823529412000,0.486274509804000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000,420
,96,0.000000000000000,0,0,119,255,4,Low Intensity Developed,21,Water,Low Intensity Developed to Water,0.556862745098000,0.458823529412000,0.486274509804000,0.000000000000000,0.000000000000000,0.466666666667000,0.000000000000000,0.000000000000000,0.466666666667000,421
,97,0.000000000000000,0,0,242,255,4,Low Intensity Developed,22,Palustrine Aquatic Bed,Low Intensity Developed to Palustrine Aquatic Bed,0.556862745098000,0.458823529412000,0.486274509804000,0.000000000000000,0.000000000000000,0.949019607843000,0.000000000000000,0.000000000000000,0.949019607843000,422
,98,0.000000000000000,102,117,219,255,4,Low Intensity Developed,23,Estuarine Aquatic Bed,Low Intensity Developed to Estuarine Aquatic Bed,0.556862745098000,0.458823529412000,0.486274509804000,0.400000000000000,0.458823529412000,0.858823529412000,0.400000000000000,0.458823529412000,0.858823529412000,423
,99,0.000000000000000,249,209,0,255,4,Low Intensity Developed,24,Tundra,Low Intensity Developed to Tundra,0.556862745098000,0.458823529412000,0.486274509804000,0.976470588235000,0.819607843137000,0.000000000000000,0.976470588235000,0.819607843137000,0.000000000000000,424
