"Iteration","Timestep","StratumIDSource","StateClassIDSource","StratumIDDest","StateClassIDDest","SecondaryStratumID","TertiaryStratumID","TransitionTypeID","Probability","Proportion","AgeMin","AgeMax","AgeRelative","AgeReset","TSTMin","TSTMax","TSTRelative"
"","","Mesic","Shrubland:All","","Developed:All","Kaua'i","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
"","","Mesic","Shrubland:All","","Developed:All","Lana'i","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
"","","Mesic","Shrubland:All","","Developed:All","Maui","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
"","","Mesic","Shrubland:All","","Developed:All","Moloka'i","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
"","","Mesic","Shrubland:All","","Developed:All","O'ahu","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
"","","Wet","Shrubland:All","","Developed:All","Hawai'i","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
"","","Wet","Shrubland:All","","Developed:All","Kaua'i","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
"","","Wet","Shrubland:All","","Developed:All","Lana'i","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
"","","Wet","Shrubland:All","","Developed:All","Maui","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
"","","Wet","Shrubland:All","","Developed:All","Moloka'i","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
"","","Wet","Shrubland:All","","Developed:All","O'ahu","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
"","","Dry","Agriculture:All","","Forest:All","Hawai'i","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
"","","Dry","Agriculture:All","","Forest:All","Kaua'i","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
"","","Dry","Agriculture:All","","Forest:All","Lana'i","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
"","","Dry","Agriculture:All","","Forest:All","Maui","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
"","","Dry","Agriculture:All","","Forest:All","Moloka'i","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
"","","Dry","Agriculture:All","","Forest:All","O'ahu","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
"","","Mesic","Agriculture:All","","Forest:All","Hawai'i","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
